cluster_id,b_bgr_mean,g_bgr_mean,r_bgr_mean,h_hsv_mean,s_hsv_mean,v_hsv_mean,l_lab_mean,a_lab_mean,b_lab_mean
0,79,72,55,197.5,30.3797,30.9804,29.4408,-4.7987,-6.3748
1,198,86,42,223.0769,78.7879,77.6471,39.9541,25.8119,-62.6333
2,72,84,121,14.6939,40.4959,47.451,39.3679,13.7404,13.1704
3,79,144,13,150.229,90.9722,56.4706,52.5035,-47.6206,25.6375
4,0,152,255,35.7647,100,100,72.0425,30.6819,77.0858
5,177,143,244,339.802,41.3934,95.6863,70.9099,42.2171,-1.0952
6,176,39,157,291.6788,77.8409,69.0196,40.8241,64.2152,-47.7906
7,2,1,213,359.717,99.5305,83.5294,44.4858,69.8499,58.0214
8,255,121,42,217.7465,83.5294,100,53.3669,24.8941,-73.078
9,255,255,255,0,0,100,100,0,0
10,54,216,253,48.8442,78.6561,99.2157,87.1264,-2.3439,77.8555
